transaction_id,sender_account,receiver_account,amount,timestamp,location,is_blacklisted
TXN00001,ACC0023,MULE001,85000,2024-01-15 14:32:00,Mumbai,1
TXN00002,ACC0045,MULE001,92000,2024-01-15 14:48:00,Delhi,1
TXN00003,ACC0012,ACC0067,4500,2024-01-15 09:15:00,Pune,0
TXN00004,ACC0078,MULE002,76000,2024-01-15 15:02:00,Bangalore,0
TXN00005,ACC0034,ACC0089,12000,2024-01-15 11:30:00,Chennai,0
TXN00006,ACC0056,MULE002,88000,2024-01-15 15:18:00,Hyderabad,1
TXN00007,ACC0091,ACC0023,3200,2024-01-15 10:45:00,Mumbai,0
TXN00008,ACC0067,MULE003,95000,2024-01-15 16:05:00,Delhi,1
TXN00009,ACC0011,ACC0045,8900,2024-01-15 13:20:00,Kolkata,0
TXN00010,ACC0033,MULE001,67000,2024-01-15 14:55:00,Mumbai,0
